,web,dist_sea,dist_city,stars,feedb,price,feedb_n,num_rooms,pool,kids,anim,location,dist_sea_km,dist_city_km,perks_n,amenities_n,Бар или ресторан,Бассейн,Бесплатный интернет,Джакузи,Для гостей с ограниченными возможностями,Кондиционер,Конференц-зал,Кухня,Можно курить,Парковка,Пляж рядом,Подходит для детей,Разрешено с домашними животными,Спа-услуги,Трансфер,Фитнес,tv_bin,brekf_bin,fridge_bin,heat_bin,iron_bin,smokefree_bin,invalid_bin
1979,https://ostrovok.ru/hotel/russia/sochi/mid10013520/naberezhnaya_guest_house/,440.0,24700.0,0,7.7,3269,21,10.0,0,0,0,sochi,0.0,1.0,5,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1980,https://ostrovok.ru/hotel/russia/sochi/mid10013525/viktoriya_plyus_2/,1000.0,20400.0,0,7.2,2688,8,28.0,1,3,0,sochi,1.0,1.0,5,38,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
1983,https://ostrovok.ru/hotel/russia/sochi/mid10013643/mariano_hotel/,1300.0,5900.0,3,8.0,4296,36,15.0,0,1,0,sochi,1.0,1.0,5,31,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1987,https://ostrovok.ru/hotel/russia/sochi/mid10013771/akvagrad_spa_otel_korpusa_kskk_akvaloo/,240.0,13900.0,0,6.5,5480,11,278.0,0,5,0,sochi,0.0,1.0,5,63,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1993,https://ostrovok.ru/hotel/russia/sochi/mid10013985/hotel_manilov/,70.0,23300.0,0,7.1,2475,4,60.0,0,0,0,sochi,0.0,1.0,4,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2017,https://ostrovok.ru/hotel/russia/sochi/mid10014786/more_apartments_na_mindalnoy_18/,2000.0,27600.0,0,0.0,6962,0,1.0,0,0,0,sochi,1.0,1.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2028,https://ostrovok.ru/hotel/russia/sochi/mid10016021/apartamenty_apartotel_center_plaza/,830.0,24100.0,0,0.0,6631,0,22.0,0,0,0,sochi,0.0,1.0,3,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2033,https://ostrovok.ru/hotel/russia/sochi/mid10016263/apartotel_park_gorykogo_neolit/,410.0,1300.0,3,8.4,4353,77,68.0,0,1,1,sochi,0.0,1.0,5,36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2048,https://ostrovok.ru/hotel/russia/sochi/mid10016899/green_palace_sochi/,1700.0,1700.0,0,8.3,4129,18,40.0,1,4,0,sochi,1.0,1.0,5,53,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2062,https://ostrovok.ru/hotel/russia/sochi/mid10018016/apartamenty_deluxe/,270.0,27200.0,0,6.8,3060,5,20.0,0,0,0,sochi,0.0,1.0,4,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
