,stars,feedb,Бар или ресторан,Бассейн,Бесплатный интернет,Джакузи,Для гостей с ограниченными возможностями,Кондиционер,Конференц-зал,Кухня,Можно курить,Парковка,Пляж рядом,Подходит для детей,Разрешено с домашними животными,Спа-услуги,Трансфер,Фитнес,tv_bin,brekf_bin,fridge_bin,heat_bin,iron_bin,dist_city,num_rooms,perks_n,amenities_n,dist_sea,feedb_n
985,0,9.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.920528187510426,2.6390573296152584,1.6094379124341003,3.8066624897703196,6.1092475827643655,2.302585092994046
986,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.825526011066415,2.302585092994046,1.0986122886681098,1.6094379124341003,4.382026634673881,2.1219958433e-314
987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75846178048587,1.6094379124341003,0.0,0.0,5.521460917862246,0.0
988,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.089967119478747,2.4849066497880004,1.6094379124341003,3.258096538021482,6.84587987526405,2.121995801e-314
989,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.764225485202621,1.9459101490553132,1.6094379124341003,2.833213344056216,6.214608098422191,2.1296014257e-314
990,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.783114300038692,2.5649493574615367,1.6094379124341003,2.995732273553991,6.887552571664617,0.0
991,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.809727948556782,1.6094379124341003,1.6094379124341003,3.258096538021482,6.413458957167357,49500.00000000094
992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.852194258148577,1.9459101490553132,0.0,0.0,6.507277712385012,2.33419537008e-312
993,0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.242756345714477,3.1354942159291497,1.6094379124341003,3.258096538021482,6.551080335043404,2.35541532799e-312
994,0,6.8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.242028693998184,3.1354942159291497,1.6094379124341003,3.091042453358316,5.393627546352362,4.060443010546419
995,4,7.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.495541943884256,6.862757913051401,1.6094379124341003,4.30406509320417,5.480638923341991,7.507690077819904
996,3,8.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,8.160518247477505,3.4011973816621555,1.6094379124341003,3.9889840465642745,7.090076835776092,3.044522437723423
997,0,8.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,8.1886891244442,2.302585092994046,1.6094379124341003,3.4011973816621555,7.090076835776092,4.127134385045092
998,0,6.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,7.8632667240095735,2.9444389791664403,1.6094379124341003,3.828641396489095,6.272877006546167,4.143134726391533
999,3,6.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.836278802842678,3.4011973816621555,1.6094379124341003,2.5649493574615367,5.634789603169249,3.044522437723423
1000,0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.160518247477505,3.2188758248682006,1.6094379124341003,3.332204510175204,7.090076835776092,3.091042453358316
1001,0,7.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,9.820105943597078,3.091042453358316,1.6094379124341003,3.4339872044851463,5.480638923341991,2.9444389791664403
1002,0,7.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.836278802842678,2.9444389791664403,1.6094379124341003,2.772588722239781,6.272877006546167,2.70805020110221
1003,3,7.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,9.035986984831405,3.258096538021482,1.6094379124341003,3.8066624897703196,8.748304912379623,2.995732273553991
1004,0,7.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,7.649692623711514,2.70805020110221,1.6094379124341003,2.772588722239781,5.966146739123692,2.995732273553991
1005,0,8.3,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,7.600902459542082,3.4011973816621555,1.6094379124341003,3.6109179126442243,5.768320995793772,4.919980925828125
